id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd,runtime,budget,revenue,film_id,poster_path,backdrop_path
4339,Only You,"Romance, Comedy",en,6.8,1,55,1994-03-04,505,Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt, Joaquim de Almeida, Fisher Stevens",,20059210.0,1h 55 min,,"$20,059,210",4339,https://image.tmdb.org/t/p/w500/7mLLANXgUg3bibTiUitDlB0NZcU.jpg,https://image.tmdb.org/t/p/w500/8uAwA3xnpMyP6etx3JIjFouA4Cl.jpg
4340,Four Brothers,"Action, Crime",en,6.8,1,49,2005-08-11,2105,John Singleton,"Mark Wahlberg, Tyrese Gibson, André 3000, Garrett Hedlund, Terrence Howard",45000000.0,92374674.0,1h 49 min,"$45,000,000","$92,374,674",4340,https://image.tmdb.org/t/p/w500/8cO39cnWSZQi2ncPG5TxL3YRzKc.jpg,https://image.tmdb.org/t/p/w500/2pITFeesu6aikrEknoH6bNXOdhk.jpg
4341,Chasing Amy,"Comedy, Drama, Romance",en,6.8,1,54,1997-04-04,1372,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes",250000.0,12021272.0,1h 54 min,"$250,000","$12,021,272",4341,https://image.tmdb.org/t/p/w500/eFhPqkNmRDfRHyQiUzUdoQjpwgh.jpg,https://image.tmdb.org/t/p/w500/9dsOweKYJ6XAJteBIKEGOI0T2bf.jpg
4342,Fantomas Unleashed,"Comedy, Crime, Adventure, Fantasy",fr,6.8,1,45,1965-12-08,510,André Hunebelle,"Jean Marais, Louis de Funès, Mylène Demongeot, Jacques Dynam, Robert Dalban",,,1h 45 min,,,4342,https://image.tmdb.org/t/p/w500/m5fyoLC3CAZbeo1lJnGtbLsC949.jpg,https://image.tmdb.org/t/p/w500/ofQyDtvprS9qtXtXhBQQoZIkiv0.jpg
4343,Arthur Christmas,"Drama, Animation, Family, Comedy",en,6.8,1,37,2011-11-10,1446,Sarah Smith,"James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton",10000000.0,151300000.0,1h 37 min,"$10,000,000","$151,300,000",4343,https://image.tmdb.org/t/p/w500/yF7SNheAGWavNnjbAronedwjC1N.jpg,https://image.tmdb.org/t/p/w500/95AS8u8PjFaW4xqtE9gVWYRkS7M.jpg
4344,Death Becomes Her,"Comedy, Fantasy, Horror",en,6.8,1,44,1992-07-30,2591,Robert Zemeckis,"Goldie Hawn, Bruce Willis, Meryl Streep, Isabella Rossellini, Ian Ogilvy",55000000.0,149000000.0,1h 44 min,"$55,000,000","$149,000,000",4344,https://image.tmdb.org/t/p/w500/kkWxyyyWFK5KNk9WVwQuGEC9H9H.jpg,https://image.tmdb.org/t/p/w500/96B1OvD8WO9gq3mwJBUi9mNkdCK.jpg
4345,Scrooge: A Christmas Carol,"Animation, Family, Fantasy",en,6.8,1,37,2022-11-18,420,Stephen Donnelly,"Luke Evans, Olivia Colman, Jessie Buckley, Johnny Flynn, Fra Fee",,,1h 37 min,,,4345,https://image.tmdb.org/t/p/w500/oyGb5JpEYMEqDDjfJKLEvPTVSjK.jpg,https://image.tmdb.org/t/p/w500/wMNY6tU9WOUeAMRfqbCYwceOl9u.jpg
4346,X,"Horror, Mystery, Thriller",en,6.8,1,46,2022-03-17,3215,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi, Martin Henderson",1000000.0,15113105.0,1h 46 min,"$1,000,000","$15,113,105",4346,https://image.tmdb.org/t/p/w500/A7YPhQKdcr6XB1kCUdS4tHifYWd.jpg,https://image.tmdb.org/t/p/w500/70Rm9ItxKuEKN8iu6rNjfwAYUCJ.jpg
4347,Peninsula,"Horror, Action, Thriller",ko,6.8,1,55,2020-07-15,2343,Yeon Sang-ho,"Gang Dong-won, Lee Jung-hyun, Lee Re, Kwon Hae-hyo, Kim Min-jae",17000000.0,42698327.0,1h 55 min,"$17,000,000","$42,698,327",4347,https://image.tmdb.org/t/p/w500/eeqvAzCccAZOhU3RfbvHB3s44S6.jpg,https://image.tmdb.org/t/p/w500/gEjNlhZhyHeto6Fy5wWy5Uk3A9D.jpg
4348,The World Is Yours,"Comedy, Crime",fr,6.8,1,34,2018-08-15,414,Romain Gavras,"Karim Leklou, Isabelle Adjani, Vincent Cassel, Oulaya Amamra, François Damiens",,,1h 34 min,,,4348,https://image.tmdb.org/t/p/w500/b8l0pdMuVgqIYXBvNUr4TXdpmFj.jpg,https://image.tmdb.org/t/p/w500/a3GnX4MG0KDVu4VQ0TwpPu2qJi1.jpg
4349,The Girl in the Fog,"Mystery, Thriller, Crime",it,6.8,2,8,2017-10-26,997,Donato Carrisi,"Toni Servillo, Jean Reno, Alessio Boni, Lorenzo Richelmy, Galatea Ranzi",,,2h 8 min,,,4349,https://image.tmdb.org/t/p/w500/fuJApAPgHrur08y6icGB5k5Umzo.jpg,https://image.tmdb.org/t/p/w500/83YnqEMx36zXmdMwyEaZPGsLlq8.jpg
4350,Alaska,"Drama, Romance",it,6.8,2,5,2015-11-05,304,Claudio Cupellini,"Elio Germano, Astrid Bergès-Frisbey, Valerio Binasco, Paolo Pierobon, Elena Radonicich",,,2h 5 min,,,4350,https://image.tmdb.org/t/p/w500/azU154dAcGAYnD2XIQc6QcKQFD1.jpg,https://image.tmdb.org/t/p/w500/c5bWXG81r9T2EnyEwwUQVTno8tC.jpg
